Ingredients,Allergy name,Allergens
"skim milk, milk*, corn syrup, titanium dioxide** (for color), sodium citrate, dipotassium phosphate, mono and diglycerides, carrageenan, natural flavor, vitamin a palmitate.",milk allergy,"milk, skim milk"
"milk, cream, disodium phosphate, sodium citrate.",milk allergy,"cream, milk"
"milk, cream, disodium phosphate, sodium citrate.",milk allergy,"cream, milk"
"skim milk, milk*, corn syrup, titanium dioxide** (for color), sodium citrate, dipotassium phosphate, mono and diglycerides, carrageenan, natural flavor, vitamin a palmitate.",milk allergy,"milk, skim milk"
"milk, vitamin d3.",milk allergy,milk
"milk, skim milk, vitamin a palmitate, vitamin d3.",milk allergy,"milk, skim milk"
"skim milk, vitamin a palmitate, vitamin d3.",milk allergy,"milk, skim milk"
"skim milk and milk, high fructose corn syrup, sugar, nonfat milk, cocoa processed with alkali, natural and artificial flavor, salt, carrageenan, vitamin a palmitate, vitamin d3.",milk allergy,"milk, nonfat milk, skim milk"
"milk, vitamin d3.",milk allergy,milk
"milk, skim milk, vitamin a palmitate, vitamin d3.",milk allergy,"milk, skim milk"
"milk, skim milk, vitamin a palmitate, vitamin d3.",milk allergy,"milk, skim milk"
"skim milk, vitamin a palmitate, vitamin d3.",milk allergy,"milk, skim milk"
"skim milk and milk, high fructose corn syrup, sugar, nonfat milk, cocoa processes with alkali, natural and artificial flavor, salt, carrageenan, vitamin a palmitate, vitamin d3.","cocoa allergy, milk allergy","cocoa processed with alkali, milk, skim milk"
"ice cream: milk, cream, corn syrup, sugar, high fructose corn syrup, whey, buttermilk, cellulose gel, guar gum, cellulose gum, natural and artificial flavor, mono- and diglycerides, locust bean gum, polysorbate 80, carrageenan, annatto (for color). cookie","milk allergy, whey allergy","buttermilk, cream, milk, whey"
"milk, cream, corn syrup, sugar, high fructose corn syrup, whey, buttermilk, cellulose gel, guar gum, natural and artificial flavor, cellulose gum, mono and diglycerides, locust bean gum, polysorbate 80, carrageenan, annatto (for color).","corn allergy, milk allergy, whey allergy","buttermilk, corn syrup, cream, milk, whey"
"milk, vitamin d3.",milk allergy,milk
"milk, skim milk, vitamin a palmitate, vitamin d3.",milk allergy,"milk, skim milk"
"water, concentrated orange juice.",none,none
"cream, milk, carrageenan, mono & diglycerides, polysorbate 80.",milk allergy,"cream, milk"
"cream, milk, carrageenan, mono & diglycerides, polysorbate 80.",milk allergy,"cream, milk"
"cream, milk, carrageenan, mono & diglycerides polysorbate 80.",milk allergy,"cream, milk"
"cream, milk, carrageenan. mono & diglycerides, polysorbate 80.",milk allergy,"cream, milk"
"cream, milk, carrageenan, mono & diglycerides, polysorbate 80.",milk allergy,"cream, milk"
"cream, milk, carrageenan, mono & diglycerides, polysorbate 80.",milk allergy,"cream, milk"
"cultured cream and skim milk, whey, modified corn starch, cultured dextrose, gelatin, sodium phosphate, guar gum, carrageenan, sodium citrate, calcium sulfate and locust bean gum, maltodextrin, salt, monosodium glutamate, sugar, yeast extract, red bell pepper, onion, potassium sorbate (preservative), garlic, tomato powder, parsley, celery, natural flavor.","corn allergy, milk allergy, whey allergy","corn starch, cream, skim milk, whey"
"skim milk, high fructose corn syrup, sugar, nonfat milk, cocoa processed with alkali, natural and artificial flavor, salt, carrageenan, vitamin a palmitate, vitamin d3.",milk allergy,"nonfat milk, skim milk"
"milk, vitamin d3",milk allergy,milk
"milk, skim milk, vitamin a plamitate, vitamin d3",milk allergy,"milk, skim milk"
"milk, skim milk vitamin a palmitate, vitamin d3.",milk allergy,"milk, skim milk"
"skim milk, vitamin a palmitate, vitamin d3.",milk allergy,skim milk
"skim milk and milk, high fructose corn syrup, sugar, nonfat milk, cocoa processed with alkali, natural and artificial flavor, salt, carrageenan, vitamin a palmitate, vitamin d3.","cocoa allergy, milk allergy","cocoa, milk, nonfat milk, skim milk"
"water, partially hydrogenated soybean oil, casein, sodium citrate, salt, modified corn and potato starch, lactic acid, sodium phosphate, sorbic acid (preservative), carrageenan, locust bean gum, annatto and b-apo-8'-carotenal (for color), dextrose and cal",milk allergy,casein
"water, partially hydrogenated soybean oil, cornstarch, whey, modified corn starch, gelatin, rice starch, salt, cellulose gum, sodium aluminum phosphate, natural flavor, lactic acid, annatto and b-apo-8'-carotenal (for color) and sorbic acid (preservative)","corn allergy, soy allergy, whey allergy","cornstarch, partially hydrogenated soybean oil, whey"
"organic orange juice, organic orange pulp.",none,none
organic orange juice.,none,none
"organic orange juice, calcium phosphate, vitamin d3.",none,none
"colby cheese (pasteurized milk, cheese culture, salt, enzymes, annatto [for color]), monterey jack cheese (pasteurized milk, cheese culture, salt, enzymes), potato starch, corn starch, dextrose and calcium sulfate (added to prevent caking), natamycin (a natural mold inhibitor).","corn allergy, milk allergy","corn starch, pasteurized milk"
"cheddar cheese (pasteurized milk, cheese culture, salt, enzymes, annatto [for color]), monterey jack cheese (pasteurized milk, cheese culture, salt, enzymes), potato starch, corn starch, dextrose and calcium sulfate (added to prevent caking), natamycin (a natural mold inhibitor).","corn allergy, milk allergy","corn starch, pasteurized milk"
"pasteurized milk, cheese culture, salt, enzymes, annatto (for color), potato starch, corn starch, dextrose and calcium sulfate (added to prevent caking), natamycin (a natural mold inhibitor).","corn allergy, milk allergy","corn starch, pasteurized milk"
"pasteurized milk, cheese culture, salt, enzyme, annatto (for color), potassium starch, corn starch, dextrose and calcium sulfate (added to prevent caking), natamycin (a natural mold inhibitor).","corn allergy, milk allergy","cheese culture, corn starch, pasteurized milk"
"water, high fructose corn syrup, citric acid, natural and artificial flavors, gum acacia, brominated vegetable oil, potassium sorbate (preservative), neotame, yellow 6, yellow 5, polysorbate 80.",none,none
"water, high fructose corn syrup, citric acid, natural and artificial flavors, gum acacia, red 40, glycerol ester of wood rosin, potassium sorbate (preservative), neotame, blue 1.",none,none
"water, high fructose corn syrup, citric acid, modified corn starch, xanthan gum, corn oil, sodium citrate, natural and artificial flavors, ascorbic acid (vitamin c), sodium benzoate (preservative), yellow 5, yellow 6, edta (to preserve freshness).",none,none
"water, concentrated orange juice.",none,none
"water, concentrated orange juice.",none,none
"organic milk, organic cream, disodium phosphate, sodium citrate.",milk allergy,"organic cream, organic milk"
"pasteurized milk, cheese culture, salt, enzymes, annatto (for color).",milk allergy,"cheese culture, pasteurized milk"
"pasteurized milk, cheese culture, salt, enzymes, annatto (for color).",milk allergy,"cheese culture, pasteurized milk"
"cultured ultrafiltered nonfat milk, cultured skim milk, natural flavor, vitamin a palmitate, vitamin d3, active cultures with l. acidophilus and b. bifidum",milk allergy,"cultured skim milk, cultured ultrafiltered nonfat milk"
"cultured ultrafiltered nonfat milk, cultured skim milk, sugar, blueberries, blueberry puree, corn starch, natural flavor, vegetable juice (for color), blueberry juice, pectin, rebaudioside-a*, citric acid, vitamin a palmitate, vitamin d3, active cultures with l. acidophilus and b. bifidum.","blueberry allergy, corn allergy, milk allergy","blueberries, corn starch, cultured skim milk, cultured ultrafiltered nonfat milk"
"cultured ultrafiltered nonfat milk, sugar, cherries, corn starch, cherry cultured skim milk, sugar juice, natural flavor, vegetable juice (for color), pecin, rebaudioside-a*, lemon juice, vitamin a palmitate, vitamin d3, active cultures with l. acidophilus and b. bifidum.","cherry allergy, corn allergy, milk allergy","cherries, corn starch, cultured skim milk, cultured ultrafiltered nonfat milk"
"cultured ultrafiltered nonfat milk, cultured skim milk, sugar, boysenberry puree, blueberry puree, raspberries, blackberry puree, corn starch, black carrot juice (for color), natural flavor, pectin, rebaudioside-a*, lemon juice concentrate, vitamin a palmitate, vitamin d3, active cultures with l. acidophilus and b. bifidum.","berry allergy, corn allergy, milk allergy","blackberry puree, blueberry puree, boysenberry puree, corn starch, cultured skim milk, cultured ultrafiltered nonfat milk, raspberries"
"cultured ultrafiltered nonfat milk, cultured skim milk, strawberries, modified corn starch, natural flavor, malic acid, sucralose, neotame, acesulfame potassium, red 40, vitamin a palmitate, vitamin d3, active cultures with l. acidophilus, b. bifidum.","corn allergy, milk allergy, strawberry allergy","cultured skim milk, cultured ultrafiltered nonfat milk, modified corn starch, strawberries"
"cultured ultrafiltered nonfat milk, cultured skim milk, modified corn starch, natural flavor, phosphoric acid, sodium citrate, sucralose, neotame, acesulfame potassium, annatto and turmeric extract (for color), vitamin a palmitate, vitamin d3, active cultures with l. acidophilus, b. bifidum","corn allergy, milk allergy","cultured skim milk, cultured ultrafiltered nonfat milk, modified corn starch"
"cultured ultrafiltered nonfat milk, sugar, cultured skim milk, mangoes, pineapple, pineapple juice concentrate, natural flavor, pectin, locust bean gum, calcium citrate, lemon juice concentrate, vitamin a palmitate, vitamin d3, active cultures with l. aci",milk allergy,"cultured skim milk, cultured ultrafiltered nonfat milk"
"cultured ultrafiltered nonfat milk, cultured skim milk, sugar, corn starch, locust bean gum, natural flavor, caramel color, rebaudioside-a*, pectin, vitamin a palmitate, vitamin d3, active cultures with l. acidophilus and b. bifidum.",milk allergy,"cultured skim milk, cultured ultrafiltered nonfat milk"
"cultured ultrafiltered nonfat milk, cultured skim milk, modified corn starch, natural flavor, phosphoric acid, sodium citrate, sucralose neotame, acesulfame potassium, annatto and turmeric extract (for color), vitamin a palmitate, vitamin d3, active cultu","corn allergy, milk allergy","corn starch, cultured skim milk, cultured ultrafiltered nonfat milk"
"cultured ultrafiltered nonfat milk, cultured skim milk, strawberry, plum puree, modified corn starch, pomegranate juice concentrate, natural flavor, citric acid, red 40, blue 1, sucralose, neotame, acesulfame potassium, vitamin a palmitate, vitamin d3, ac","corn allergy, milk allergy","cultured skim milk, cultured ultrafiltered nonfat milk, modified corn starch"
"water, partially hydrogenated soybean oil, casein, sodium citrate, salt, modified corn starch and potato starch, lactic acid, sodium phosphate, sorbic acid (preservative), carrageenan, locust bean gum, annatto (for color), dextrose and calcium sulfate added to prevent caking, natamycin (a natural mold inhibitor).","corn allergy, milk allergy, potato allergy, soy allergy","casein, modified corn starch, partially hydrogenated soybean oil, potato starch"
"water, partially hydrogenated soybean oil, casein, sodium citrate, salt, modified corn and potato starch, lactic acid, sodium phosphate, sorbic acid (preservative), carrageenan, locust bean gum, annatto and b-apo-8'-carotenal (for color), dextrose and calcium sulfate added to prevent caking, natamycin (a natural mold inhibitor).","corn allergy, milk allergy, potato allergy, soy allergy","casein, modified corn starch, partially hydrogenated soybean oil, potato starch"
"milk, sugar syrup, corn syrup, cream, skim milk, buttermilk, high fructose corn syrup, whey protein concentrate, propylene glycol monoesters, guar gum, mono- and diglycerides, cellulose gel, locustbean gum, cellulose gum, carrageenan, natural and artificial flavor, ground vanilla bean, vitamin a palmitate.","corn allergy, milk allergy, whey allergy","buttermilk, corn syrup, cream, high fructose corn syrup, milk, skim milk, whey protein concentrate"
"milk, sugar, syrup, corn syrup, cream skim milk, buttermilk, high fructose corn syrup, whey protein concentrate, propylene glycol monoesters, butter (cream, salt), coconut oil, guar gum, mono- and diglycerides, cellulose gel, locust bean gum, cellulose gum, carrageenan, natural and artificial flavors, caramel color, vitamin a palmitate.","coconut allergy, corn allergy, milk allergy, whey allergy","butter (cream, buttermilk, coconut oil, corn syrup, cream, high fructose corn syrup, milk, salt), skim milk, whey protein concentrate"
"milk, sugar syrup, corn syrup, cream, skim milk, buttermilk, high fructose corn syrup, whey protein concentrate, cocoa processed with alkali, propylene glycol monoesters, guar gum, mono- and diglycerides, cellulose gel, locust bean gum, cellulose gum, carrageenan, vitamin a palmitate. candy blend - sugar, roasted almonds (almonds, partially hydrogenated soybean oil and/or safflower oil and/or almond oil and/or canola oil, salt), coconut oil, cocoa processed with alkali, chocolate liquor, water, cocoa butter, milk solids, natural cocoa, butter (cream, salt), non fat dry milk, butter oil, powdered sugar (sugar, corn starch), soy lecithin, corn starch, natural flavor.","cocoa allergy, coconut allergy, corn allergy, milk allergy, soy allergy, tree nut allergy (almonds), whey allergy","butter (cream, butter oil, buttermilk, cocoa processed with alkali, coconut oil, corn starch, corn syrup, cream, high fructose corn syrup, milk, milk solids, nonfat dry milk, roasted almonds, salt), skim milk, soy lecithin, whey protein concentrate"
"ice cream - milk, sugar, corn syrup, cream, buttermilk, high fructose corn syrup, whey protein concentrate, propylene glycol monoesters, guar gum, mono and diglycerides, cellulose gel, locust bean gum, natural and artificial flavor, cellulose gel, annatto (for color), carrageenan, vitamin a palmitate cookie pieces - enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), sugar, vegetable oil (soybean, palm oil with citric acid, palm kernel with tbhq for freshness), cocoa (processed with alkali), invert sugar, caramel color, yellow corn flour, chocolate liquor, cornstarch, salt, leavening (baking soda, monocalcium phosphate, ammonium bicarbonate), whey, natural and artificial flavor, soy lecithin.","corn allergy, milk allergy, soy allergy, wheat allergy, whey allergy","buttermilk, corn syrup, cream, enriched flour (wheat flour), high fructose corn syrup, milk, soy lecithin, whey protein concentrate"
"milk, sugar syrup, corn syrup, roasted pecans (pecans, cottonseed oil, butter [cream, salt], salt), cream, skim milk, buttermilk, high fructose corn syrup, whey protein concentrate, brown sugar, propylene glycol monsters, salt, guar gum, mono-and diglycerides, cellulose gel, locust bean gum, cellulose gum, molasses, carrageenan, natural flavor, caramel color, vitamin a palmitate.","corn allergy, milk allergy, tree nut allergy (pecans), whey allergy","butter, buttermilk, corn syrup, cream, high fructose corn syrup, milk, pecans, skim milk, whey protein concentrate"
"ice cream - milk and skim milk, maltodextrin, cream. maltitol, glycerol, polydextrose, propylene glycol monoesters, guar gum, mono- and diglycerides, cellulose gel, locust bean gum, cellulose gum, carrageenan, natural and artificial flavors, sucralose, enzymes, vitamin a palmitate. chocolate peanut butter cup - coconut oil, peanut butter (peanuts, salt), maltitol, lactitol, cocoa processed with alkali, soy lecithin (an emulsifier), natural flavors. chocolate swirl - water, maltodextrin, sorbitol, cocoa processed with alkali, modified tapioca starch, butter (cream, salt), natural & artificial flavors, sucralose.","milk allergy, peanut allergy, soy allergy","butter, cream, milk, peanuts, skim milk, soy lecithin"
"milk and skim milk, maltodextrin, cream, maltitol, butter [cream, salt], salt), cocoa processed with alkali, glycerol polydextrose, propylene glycol monoesters, guar gum, mono- and diglycerides, cellulose gel, locust bean gum, cellulose gum, carrageenan, gum arabic, natural and artificial flavors, enzymes, sucralose, citric acid, vitamin a palmitate.","butter allergy, cocoa allergy, milk allergy","butter, cocoa processed with alkali, cream, milk"
"milk and skim milk, maltodextrin, cream, maltitol, glycerol, polydextrose, propylene glycol monoesters, guar gum, mono - and diglycerides, cellulose gel, locust bean gum, cellulose gum, carrageenan, natural and artificial flavors, sucralose enzymes, annatto (for color), vitamin a palmitate.","cream allergy, locust bean allergy, milk allergy","cream, locust bean gum, milk, skim milk"
"skim milk, hydrogenated coconut oil, whey, modified corn starch, gelatin, sodium phosphate, guar gum, carrageenan, calcium sulfate, locust bean gum, mono and diglycerides, cultured skim milk, maltodextrin, salt, minced onion, onion powder, sugar, hydrolyz","coconut allergy, corn allergy, locust bean allergy, milk allergy, whey allergy","cultured skim milk, guar gum, hydrogenated coconut oil, locust bean gum, modified corn starch, skim milk, whey"
"cultured pasteurized milk and skim milk, sugar, corn syrup, buttermilk, cocoa, whey, cellulose gel, mono- and diglycerides, guar gum, natural and artificial flavor, locust bean gum, polysorbate 80, cellulose gum, carrageenan.","corn allergy, locust bean allergy, milk allergy, whey allergy","buttermilk, corn syrup, cultured pasteurized milk, guar gum, locust bean gum, skim milk, whey"
"yogurt: cultured ultrafiltered nonfat milk, chicory root extract (inulin), sugar, cultured skim milk, natural flavor, vitamin a palmitate, vitamin d3, and active cultures with l. acidophilus and b. bifidum. fruit and vegetable: water, sugar, blueberries,",milk allergy,"cultured skim milk, cultured ultrafiltered nonfat milk"
"yogurt: cultured ultrafiltered nonfat milk, chicory root extract (inulin), sugar, cultured skim milk, natural flavor, vitamin a palmitate, vitamin d3 and active cultures with l. acidophilus and b. bifidum. fruit and vegetable: water, sugar, cherries, red",milk allergy,"cultured skim milk, cultured ultrafiltered nonfat milk"
"yogurt: cultured ultrafiltered nonfat milk, chicory root extract (inulin), sugar, cultured skim milk, natural flavor, vitamin a palmitate, vitamin d3 and active cultures with l. acidophilus and b. bifidum. fruit and vegetable: water, sugar, lemon pulp, zu",milk allergy,"cultured skim milk, cultured ultrafiltered nonfat milk"
"cultured ultrafiltered nonfat milk, cultured skim milk, desiccated coconut, modified cornstarch, natural flavor, malic acid, sodium citrate, sucralose, neotame, acesulfame potassium sugar, vitamin a palmitate, vitamin d3, active cultures with l. acidophil","coconut allergy, milk allergy","cultured skim milk, cultured ultrafiltered nonfat milk, desiccated coconut"
"cultured ultrafiltered nonfat milk, cultures skim milk, apples, oats, modified corn starch, natural flavor, spice, malic acid, sodium citrate, sucralose, neotame, acesulfame potassium, vitamin a palmitate, vitamin d3, active cultures with l. acidophilus,","milk allergy, oat allergy","cultured skim milk, cultured ultrafiltered nonfat milk, oats"
"water, milk protein concentrate, milk protein isolate, cream, skim milk, modified corn starch, ,mango juice concentrate, pineapple juice concentrate, coconut water concentrate, natural flavor, orange juice concentrate, salt, annatto and turmeric (color),",milk allergy,"cream, milk protein concentrate, milk protein isolate, skim milk"
"water, milk protein concentrate, milk protein isolate, cream, skim milk, blueberry puree, modified corn starch, sal, natural flavor, malic acid, sucralose, potassium sorbate (to maintain freshness), agar, acesulfame potassium, lactase (glycerol, water, en",milk allergy,"cream, milk protein concentrate, milk protein isolate, skim milk"
"water, milk protein concentrate, milk protein isolate, cream, skim milk, raspberries, modified corn starch, salt, natural flavor, vegetable juice (color), citric acid, sucralose, potassium sorbate (to maintain freshness), agar, acesulfame potassium, lacto",milk allergy,"cream, milk protein concentrate, milk protein isolate, skim milk"
"water, milk protein concentrate, milk protein isolate, cream, skin milk, honey, banana puree, modified corn starch, salt, natural flavor, caramelized sugar syrup, citric acid, sucralose, potassium sorbate (to maintain freshness), agar, acesulfame potassiu",milk allergy,"cream, milk protein concentrate, milk protein isolate, skim milk"
"water, milk protein concentrate, milk protein isolate, cream, skim milk, cherry juice concentrate, modified corn starch, salt, natural flavor, vegetable juice (color), sucralose, potassium sorbate (to maintain freshness), malic acid, agar, acesulfame pota",milk allergy,"cream, milk protein concentrate, milk protein isolate, skim milk"
"cultured ultrafiltered nonfat milk, cultured skim milk, desiccated coconut, modified corn starch, natural flavor, malic acid, sodium citrate, sucralose, neotame, acesulfame potassium, sugar, vitamin a palmitate, vitamin d3, active cultures with l. acidoph","coconut allergy, milk allergy","cultured skim milk, cultured ultrafiltered nonfat milk, desiccated coconut"
"skim milk, milk, high fructose corn syrup, sugar, cocoa processed with alkali, salt, carrageenan, artificial flavor, vitamin a palmitate, vitamin d3.",milk allergy,"milk, skim milk"
"skim milk, milk, high fructose corn syrup, sugar, cocoa processed with alkali, salt, carrageenan, artificial flavor, vitamin a palmitate, vitamin 03.",milk allergy,"milk, skim milk"
"skim milk, milk, fructose corn syrup, sugar, cocoa processed with alkali, salt, carrageenan, artificial flavor, vitamin a palmitate, vitamin d3.",milk allergy,"milk, skim milk"
"skim milk, milk, high fructose corn syrup, sugar, cocoa processed with alkali, salt, carrageenan, artificial flavor, vitamin a palmitate, vitamin d3.",milk allergy,"milk, skim milk"
"skim milk, milk, high fructose corn syrup, sugar, cocoa processed with alkali, salt, carrageenan, artificial flavor, vitamin a palmitate, vitamin d3.","cocoa allergy, milk allergy","cocoa processed with alkali, milk, skim milk"
"milk, cream, corn syrup, sugar, high fructose corn syrup, whey, buttermilk, cellulose gel, guar gum, cellulose gum, mono- and diglycerides, locust bean gum, polysorbate 80, carrageenan, natural flavor, spice, annatto and turmeric extractives (color).","milk allergy, whey allergy","buttermilk, cream, milk, whey"
"skim milk, high fructose corn syrup, sugar, cocoa processed with alkali, corn starch, salt, artificial flavor, carrageenan, vitamin a palmitate, vitamin d3.","cocoa allergy, corn allergy, milk allergy","cocoa processed with alkali, corn starch, high fructose corn syrup, skim milk"
"milk, cream, sugar syrup, corn syrup, high fructose corn syrup, whey, skim milk, natural and artificial flavors, cellulose gel, guar gum, cellulose gum, mono- and diglycerides, locust bean gum, polysorbate 80, ground vanilla bean, carrageenan.","corn allergy, milk allergy, whey allergy","corn syrup, cream, high fructose corn syrup, milk, skim milk, whey"
"milk, cream, sugar syrup, corn syrup, black walnuts, high fructose corn syrup, whey, skim milk, buttermilk powder, cellulose gel, guar gum, natural flavor, cellulose gum, mono- and diglycerides, locust bean gum, polysorbate 80, caramel color, carrageenan.","corn allergy, milk allergy, nut allergy (walnuts), whey allergy","black walnuts, corn syrup, cream, high fructose corn syrup, milk, skim milk, whey"
"ice cream: milk, cream, sugar syrup, corn syrup, high fructose corn syrup, whey, buttermilk, natural and artificial flavors, cellulose gel, guar gum, cellulose gum, mono- and diglycerides, locust bean gum, polysorbate 80, carrageenan, annato (for color). chocolate chips - sugar, partially hydrogenated coconut oil, cocoa, coconut oil, soy lecithin, salt, natural flavor.","cocoa allergy, corn allergy, milk allergy, soy allergy, whey allergy","buttermilk, cocoa, corn syrup, cream, high fructose corn syrup, milk, soy lecithin, sugar syrup, whey"
"ice cream - milk, cream, corn syrup, sugar, high fructose corn syrup, whey, buttermilk, natural flavor, cellulose gel, guar gum, cellulose gum, mono-and diclycerides, locust bean gum, polysorbate 80, carrageenan, yellow 5, blue 1. choco chip - sugar, coconut oil, cocoa processed with alkali, partially hydrogenated coconut oil, cocoa salt, soy lecithin, natural flavor.","cocoa allergy, corn allergy, milk allergy, soy allergy, whey allergy","buttermilk, cocoa processed with alkali, corn syrup, cream, high fructose corn syrup, milk, soy lecithin, whey"
"milk, cream, sugar, corn syrup, cocoa processed with alkali, buttermilk, whey, guar gum, cellulose gel, cellulose gum, mono and diclycerides locust bean gum,polysorabate 80, carrageenan.","cocoa allergy, corn allergy, milk allergy, whey allergy","buttermilk, cocoa processed with alkali, corn syrup, cream, milk, whey"
"chocolate ice cream - milk, cream, sugar syrup, corn syrup, buttermilk, whey, cocoa processed with alkali, salt, guar gum, mono and diglycerides, locust bean gum, polysorbate 80, carrageenan. candy blend - sugar, roasted almonds (almonds partially hydrogenated soybean oil and/or safflower oil and/or almond oil and/or canola oil, salt) coconut oil, cocoa processed with alkali, chocolate liquor, water, cocoa, butter, milk solids, natural cocoa, butter (cream, salt), non fat dry milk, butter oil, powdered sugar (sugar, corn starch), soy lecithin (emulsifier), corn starch, natural flavor.","cocoa allergy, milk allergy, soy allergy, tree nut allergy (almonds)","almonds, butter, buttermilk, cocoa processed with alkali, cream, milk, non-fat dry milk, soy lecithin, whey"
"milk, cream, sugar, corn syrup, egg yolks, whey, natural and artificial flavor, cellulose gel, guar gum, cellulose gum, mono- and diglycerides, annatto extract (color), locust bean gum, polysorbate 80, carrageenan.","corn allergy, egg allergy, milk allergy","corn syrup, cream, egg yolks, milk, whey"
"milk, cream, corn syrup, sugar, high fructose corn syrup, whey, buttermilk, natural and artificial flavor, cellulose gel, guar gum, cellulose gum, polysorbate 80, carrageenan, annato (for colors). cookies - enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), sugar, vegetable oil (soybean, palm oil with citric acid, palm kernel oil with tbhq for freshness), cocoa (processed with alkali), imvert sugar, caramel color, yellow corn flour, chocolate liquor, cornstarch, salt, leavening (baking soda, monocalcium phosphate, ammonium bicarbonate), whey, natural and artificial flavor, soy lecithin.","milk allergy, soy allergy, wheat allergy","buttermilk, enriched flour (wheat flour), milk, soy lecithin, whey"
"milk, cream, corn syrup, sugar, high fructose corn syrup, strawberries, whey, buttermilk, cocoa processed with alkali, cellulose gel, guar gum, cellulose gum, natural and artificial flavor, mono- and diglycerides locust bean gum, polysorbate 80, carrageenan, annatto (for color), red 3, blue 1, yellow 6.","buttermilk allergy, cocoa allergy, milk allergy, whey allergy","buttermilk, cocoa processed with alkali, milk, whey"
"milk, cream, sugar, corn syrup, roasted almonds (almonds, canola oil, butter [cream, salt], salt), cocoa processed with alkali, buttermilk, whey, high fructose corn syrup, dextrose, cellulose gel, guar gum, cellulose gum, mono- and diglycerides, modified potato starch, locust bean gum, gum arabic, pectin, polysorbate 80, sodium citrate, citric acid, natural flavors, xanthan gum, carrageenan.","almond allergy, butter allergy, buttermilk allergy, canola oil allergy, cocoa allergy, milk allergy, potato starch allergy, whey allergy","almonds, butter, buttermilk, canola oil, cocoa processed with alkali, milk, potato starch, whey"
"milk, cream, sugar syrup, pecans, high fructose corn syrup, whey, brown sugar, salt, cellulose gel, guar gum, celllulose gum, mono- and diglycerides, locust bean gum, polysorbate 80, carrageenan, molasses, natural flavor (contains soy), caramel color, pecans.","milk allergy, pecan allergy, soy allergy","milk, pecans, soy"
"milk, cream, sugar syrup, corn syrup, high fructose corn syrup, whey, skim milk, artificial and natural flavor, cellulose gel, guar gum, cellulose gum, mono- and diglycerides, locust bean gum, polysorbate 80, carrageenan, annatto (for color).","corn allergy, milk allergy, whey allergy","corn syrup, cream, high fructose corn syrup, milk, whey"
"ice cream - milk, cream, corn syrup, sugar, high fructose corn syrup, whey, buttermilk, natural flavor, cellulose gel, guar gum, cellulose gum, mono and diglycerides, locust bean gum, caramel color, polysorbate 80, carrageenan, ascorbic acid. nuts and fruit mixture - roasted pecans (pecans, cottonseed oil, butter, salt), pineapple, high fructose corn syrup, corn syrup, cherries, locust bean gum, citric acid, natural flavor, xanthan gum, turmeric extract (color), yellow 6, red 40. choco fudge - high fructose corn syrup, water, corn syrup, cocoa processed with alkali, stabilizer (modified corn starch, pectin, cellulose gum), modified buttermilk powder, carboxymethylcellulose.","cherry allergy, cocoa allergy, corn allergy, milk allergy, pecan allergy, whey allergy","cherries, cocoa processed with alkali, corn syrup, cream, high fructose corn syrup, milk, modified buttermilk powder, pecans, whey"
"water, sugar syrup, milk* and skim milk*, corn syrup concentrated lime juice*, concentrated orange juice, natural flavors, orange pulp, citric acid, locust bean gum, mono- and diglycerides*, methyl cellulose, guar gum, polysorbate 80*, pectin, turmeric (for color), yellow 5, blue 1.","corn allergy, milk allergy","corn syrup, milk, skim milk"
"water, sugar syrup, milk* and skim milk*, corn syrup, orange pulp, concentrated orange juice, high fructose corn syrup, natural flavors, citric acid, locust bean gum, mono- and diglycerides*, methyl cellulose, guar gum, polysorbate 80*, pectin, yellow 6.","corn allergy, milk allergy","corn syrup, high fructose corn syrup, milk, skim milk"
"water, sugar syrup, milk* and skim milk*, corn syrup, pineapple, high fructose corn syrup, pineapple juice concentrate, citric acid, locust bean gum, mono- and diglycerides*, methyl cellulose, guar gum, polysorbate 80 pectin, modified cornstarch, natural flavoring, turmeric (for color), spice.","corn allergy, milk allergy","corn syrup, high fructose corn syrup, milk, modified cornstarch, skim milk"
"water, sugar syrup, milk* and skim milk*, corn syrup, concentrated raspberry juice, concentrated lime juice, orange pulp, concentrated orange juice, high fructose corn syrup, raspberry puree, natural and artificial flavors, citric acid, locust bean gum, mono- and diglycerides*, methyl cellulose, guar gum, polysorbate 80*, pectin, malic acid, turmeric extract (for color), red 40, blue 1, yellow 5, yellow 6.","corn allergy, milk allergy","corn syrup, high fructose corn syrup, milk, skim milk"
"ice cream - milk, cream, corn syrup, sugar, high fructose corn syrup, whey, buttermilk, natural flavor, cellulose gel, guar gum, cellulose gum, mono- and diglycerides, locust bean gum, polysorbate 80, carrageenan, yellow 5, blue 1. choco chip - sugar, coconut oil, cocoa processed with alkali, partially hydrogenated coconut oil, cocoa, salt, soy lecithin, natural flavor.","cocoa allergy, corn allergy, milk allergy, soy allergy, whey allergy","buttermilk, cocoa, corn syrup, cream, high fructose corn syrup, milk, soy lecithin, whey"
"milk, cream, sugar, corn syrup, cocoa processed with alkali, buttermilk, whey, guar gum, cellulose gel, cellulose gum, mono and diclycerides, locust bean gum, polysorbate 80, carrageenan.","cocoa allergy, corn allergy, milk allergy, whey allergy","buttermilk, cocoa processed with alkali, corn syrup, cream, milk, whey"
